latitude,longitude,population
10.4193056,119.3779167,0.893739
10.3576389,119.3848611,0.893739
10.4168056,119.3740278,0.893739
10.3593056,119.3851389,0.893739
10.4190278,119.3776389,0.893739
10.4140278,119.3804167,0.893739
10.3970833,119.3723611,0.893739
10.3584722,119.3873611,0.893739
10.3976389,119.3720833,0.893739
10.3798611,119.4156944,0.893739
10.3734722,119.4131944,0.893739
10.3870833,119.3759722,0.893739
10.4070833,119.3806944,0.893739
10.3795833,119.4145833,0.893739
10.3601389,119.3870833,0.893739
10.3584722,119.4231944,0.893739
10.3609722,119.3793056,0.893739
10.3865278,119.3843056,0.893739
10.3979167,119.3740278,0.893739
10.3948611,119.3648611,0.893739
10.3590278,119.3851389,0.893739
10.3804167,119.4145833,0.893739
10.3584722,119.3865278,0.893739
10.3804167,119.4154167,0.893739
10.4115278,119.3706944,0.893739
10.3743056,119.3740278,0.893739
10.3798611,119.3793056,0.893739
10.3784722,119.41375,0.893739
10.3873611,119.3768056,0.893739
10.3581944,119.3854167,0.893739
10.3976389,119.3715278,0.893739
10.3820833,119.4154167,0.893739
10.3609722,119.38125,0.893739
10.3623611,119.3873611,0.893739
10.3629167,119.3876389,0.893739
10.4120833,119.3704167,0.893739
10.3929167,119.3718056,0.893739
10.3968056,119.3723611,0.893739
10.3634722,119.42625,0.893739
10.39875,119.3718056,0.893739
10.3865278,119.37375,0.893739
10.3756944,119.37375,0.893739
10.3770833,119.37375,0.893739
10.4034722,119.3879167,0.893739
10.4034722,119.3851389,0.893739
10.3604167,119.3865278,0.893739
10.4065278,119.3854167,0.893739
10.3923611,119.3718056,0.893739
10.3606944,119.3865278,0.893739
10.3904167,119.3648611,0.893739
10.3604167,119.3851389,0.893739
10.3898611,119.3734722,0.893739
10.3840278,119.3773611,0.893739
10.4034722,119.3676389,0.893739
10.36875,119.3820833,0.893739
10.4159722,119.3743056,0.893739
10.3945833,119.3706944,0.893739
10.3584722,119.3890278,0.893739
10.35875,119.3856944,0.893739
10.4001389,119.3715278,0.893739
10.3876389,119.3748611,0.893739
10.3818056,119.4154167,0.893739
10.3956944,119.3645833,0.893739
10.3868056,119.3756944,0.893739
10.3609722,119.3809722,0.893739
10.3865278,119.3756944,0.893739
10.35875,119.3865278,0.893739
10.3795833,119.4148611,0.893739
10.3879167,119.3693056,0.893739
10.3990278,119.4018056,0.893739
10.37875,119.4143056,0.893739
10.3918056,119.4001389,0.893739
10.3793056,119.4140278,0.893739
10.3584722,119.3843056,0.893739
10.35875,119.3868056,0.893739
10.3795833,119.41375,0.893739
10.4198611,119.3693056,0.893739
10.3606944,119.38625,0.893739
10.3873611,119.3765278,0.893739
10.3798611,119.4154167,0.893739
10.41125,119.3709722,0.893739
10.4004167,119.3731944,0.893739
10.3565278,119.37875,0.893739
10.3965278,119.4034722,0.893739
10.3973611,119.3726389,0.893739
10.3595833,119.3870833,0.893739
10.39375,119.3709722,0.893739
10.3601389,119.3904167,0.893739
9.7179167,123.8754167,5.044764
9.7173611,123.87875,5.044764
9.7148611,123.8793056,5.044764
9.7165278,123.8804167,5.044764
9.7173611,123.8779167,5.044764
9.7165278,123.8806944,5.044764
9.7176389,123.8773611,5.044764
9.7145833,123.8743056,5.044764
9.71625,123.8809722,5.044764
9.7151389,123.8793056,5.044764
9.71625,123.8804167,5.044764
9.7179167,123.8765278,5.044764
9.7154167,123.8793056,5.044764
9.71625,123.8818056,5.044764
9.7176389,123.8781944,5.044764
9.71625,123.8854167,5.044764
9.7176389,123.8829167,5.044764
9.71625,123.8815278,5.044764
9.71875,123.8854167,5.044764
9.7170833,123.8826389,5.044764
9.7170833,123.88125,5.044764
9.7168056,123.8851389,5.044764
9.7129167,123.8851389,5.044764
9.7168056,123.8756944,5.044764
9.7181944,123.8759722,5.044764
9.7176389,123.8826389,5.044764
9.7159722,123.8751389,5.044764
9.7159722,123.8793056,5.044764
9.71625,123.8784722,5.044764
9.71625,123.8756944,5.044764
